url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1997-03-29,3/29/1997,7,All By Myself,Celine Dion,All By MyselfCeline Dion,1,,7,1
http://www.billboard.com/charts/hot-100/1997-09-06,9/6/1997,7,Barbie Girl,Aqua,Barbie GirlAqua,1,,7,1
http://www.billboard.com/charts/hot-100/2007-08-04,8/4/2007,7,"Sorry, Blame It On Me",Akon,"Sorry, Blame It On MeAkon",1,,7,1
http://www.billboard.com/charts/hot-100/2010-01-23,1/23/2010,7,Blah Blah Blah,Ke$ha Featuring 3OH!3,Blah Blah BlahKe$ha Featuring 3OH!3,1,,7,1
http://www.billboard.com/charts/hot-100/2011-10-15,10/15/2011,7,Strange Clouds,B.o.B Featuring Lil Wayne,Strange CloudsB.o.B Featuring Lil Wayne,1,,7,1
http://www.billboard.com/charts/hot-100/2012-10-13,10/13/2012,7,Begin Again,Taylor Swift,Begin AgainTaylor Swift,1,,7,1
http://www.billboard.com/charts/hot-100/2013-11-02,11/2/2013,7,Rap God,Eminem,Rap GodEminem,1,,7,1
http://www.billboard.com/charts/hot-100/2016-12-31,12/31/2016,7,Deja Vu,J. Cole,Deja VuJ. Cole,1,,7,1
http://www.billboard.com/charts/hot-100/2017-02-04,2/4/2017,7,Paris,The Chainsmokers,ParisThe Chainsmokers,1,,7,1
https://www.billboard.com/charts/hot-100/2018-02-03,2/3/2018,7,Diplomatic Immunity,Drake,Diplomatic ImmunityDrake,1,,7,1
https://www.billboard.com/charts/hot-100/2018-02-17,2/17/2018,7,Pray For Me,The Weeknd & Kendrick Lamar,Pray For MeThe Weeknd & Kendrick Lamar,1,,7,1
https://www.billboard.com/charts/hot-100/2018-05-12,5/12/2018,7,Better Now,Post Malone,Better NowPost Malone,1,,7,1
https://www.billboard.com/charts/hot-100/2019-04-13,4/13/2019,7,Bad Guy,Billie Eilish,Bad GuyBillie Eilish,1,,7,1
https://www.billboard.com/charts/hot-100/2019-09-14,9/14/2019,7,Circles,Post Malone,CirclesPost Malone,1,,7,1
http://www.billboard.com/charts/hot-100/1997-07-12,7/12/1997,8,Sunny Came Home,Shawn Colvin,Sunny Came HomeShawn Colvin,1,,8,1
http://www.billboard.com/charts/hot-100/2005-05-07,5/7/2005,8,Speed Of Sound,Coldplay,Speed Of SoundColdplay,1,,8,1
http://www.billboard.com/charts/hot-100/2010-06-05,6/5/2010,8,Can't Be Tamed,Miley Cyrus,Can't Be TamedMiley Cyrus,1,,8,1
http://www.billboard.com/charts/hot-100/2010-10-23,10/23/2010,8,Speak Now,Taylor Swift,Speak NowTaylor Swift,1,,8,1
http://www.billboard.com/charts/hot-100/2010-11-27,11/27/2010,8,Teenage Dream,Glee Cast,Teenage DreamGlee Cast,1,,8,1
http://www.billboard.com/charts/hot-100/2012-10-20,10/20/2012,8,Skyfall,Adele,SkyfallAdele,1,,8,1
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,8,Sugar,Maroon 5,SugarMaroon 5,1,,8,1
http://www.billboard.com/charts/hot-100/2016-03-19,3/19/2016,8,Piece By Piece,Kelly Clarkson,Piece By PieceKelly Clarkson,1,,8,1
http://www.billboard.com/charts/hot-100/2017-04-08,4/8/2017,8,Passionfruit,Drake,PassionfruitDrake,1,,8,1
https://www.billboard.com/charts/hot-100/2018-08-18,8/18/2018,8,Stargazing,Travis Scott,StargazingTravis Scott,1,,8,1
https://www.billboard.com/charts/hot-100/2019-04-27,4/27/2019,8,Boy With Luv,BTS Featuring Halsey,Boy With LuvBTS Featuring Halsey,1,,8,1
https://www.billboard.com/charts/hot-100/2019-08-17,8/17/2019,8,Boyfriend,Ariana Grande & Social House,BoyfriendAriana Grande & Social House,1,,8,1
https://www.billboard.com/charts/hot-100/2019-09-21,9/21/2019,8,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You WantPost Malone Featuring Ozzy Osbourne & Travis Scott,1,,8,1
http://www.billboard.com/charts/hot-100/1996-07-20,7/20/1996,9,Change The World,Eric Clapton,Change The WorldEric Clapton,1,,9,1
http://www.billboard.com/charts/hot-100/2008-09-06,9/6/2008,9,So What,P!nk,So WhatP!nk,1,,9,1
http://www.billboard.com/charts/hot-100/2009-11-14,11/14/2009,9,Bad Romance,Lady Gaga,Bad RomanceLady Gaga,1,,9,1
http://www.billboard.com/charts/hot-100/2011-01-01,1/1/2011,9,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,6 Foot 7 FootLil Wayne Featuring Cory Gunz,1,,9,1
http://www.billboard.com/charts/hot-100/2011-12-03,12/3/2011,9,Take Care,Drake Featuring Rihanna,Take CareDrake Featuring Rihanna,1,,9,1
http://www.billboard.com/charts/hot-100/2012-03-03,3/3/2012,9,Starships,Nicki Minaj,StarshipsNicki Minaj,1,,9,1
http://www.billboard.com/charts/hot-100/2016-08-20,8/20/2016,9,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey,1,,9,1
http://www.billboard.com/charts/hot-100/2017-04-08,4/8/2017,9,Portland,Drake Featuring Quavo & Travis Scott,PortlandDrake Featuring Quavo & Travis Scott,1,,9,1
https://www.billboard.com/charts/hot-100/2018-02-10,2/10/2018,9,Say Something,Justin Timberlake Featuring Chris Stapleton,Say SomethingJustin Timberlake Featuring Chris Stapleton,1,,9,1
https://www.billboard.com/charts/hot-100/2018-07-14,7/14/2018,9,Don't Matter To Me,Drake Featuring Michael Jackson,Don't Matter To MeDrake Featuring Michael Jackson,1,,9,1
https://www.billboard.com/charts/hot-100/2018-11-03,11/3/2018,9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)Post Malone & Swae Lee,1,,9,1
http://www.billboard.com/charts/hot-100/1997-02-22,2/22/1997,10,Discotheque,U2,DiscothequeU2,1,,10,1
http://www.billboard.com/charts/hot-100/1998-06-27,6/27/1998,10,Come With Me,Puff Daddy Featuring Jimmy Page,Come With MePuff Daddy Featuring Jimmy Page,1,,10,1
http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,10,Change,Taylor Swift,ChangeTaylor Swift,1,,10,1
http://www.billboard.com/charts/hot-100/2011-07-30,7/30/2011,10,Skyscraper,Demi Lovato,SkyscraperDemi Lovato,1,,10,1
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,10,Perfect,One Direction,PerfectOne Direction,1,,10,1
http://www.billboard.com/charts/hot-100/2016-04-02,4/2/2016,10,Dangerous Woman,Ariana Grande,Dangerous WomanAriana Grande,1,,10,1
http://www.billboard.com/charts/hot-100/1996-03-23,3/23/1996,11,Real Love,The Beatles,Real LoveThe Beatles,1,,11,1
http://www.billboard.com/charts/hot-100/2008-08-23,8/23/2008,11,A Little Bit Longer,Jonas Brothers,A Little Bit LongerJonas Brothers,1,,11,1
http://www.billboard.com/charts/hot-100/2011-12-03,12/3/2011,11,Rumour Has It / Someone Like You,Glee Cast,Rumour Has It / Someone Like YouGlee Cast,1,,11,1
http://www.billboard.com/charts/hot-100/2012-03-10,3/10/2012,11,So Good,B.o.B,So GoodB.o.B,1,,11,1
http://www.billboard.com/charts/hot-100/2013-12-07,12/7/2013,11,Diana,One Direction,DianaOne Direction,1,,11,1
http://www.billboard.com/charts/hot-100/2014-07-26,7/26/2014,11,Dirt,Florida Georgia Line,DirtFlorida Georgia Line,1,,11,1
http://www.billboard.com/charts/hot-100/2016-05-14,5/14/2016,11,Sorry,Beyonce,SorryBeyonce,1,,11,1
http://www.billboard.com/charts/hot-100/2016-08-06,8/6/2016,11,Rise,Katy Perry,RiseKaty Perry,1,,11,1
https://www.billboard.com/charts/hot-100/2018-05-12,5/12/2018,11,Paranoid,Post Malone,ParanoidPost Malone,1,,11,1
https://www.billboard.com/charts/hot-100/2018-06-16,6/16/2018,11,All Mine,Kanye West,All MineKanye West,1,,11,1
https://www.billboard.com/charts/hot-100/2019-10-19,10/19/2019,11,Bandit,Juice WRLD & YoungBoy Never Broke Again,BanditJuice WRLD & YoungBoy Never Broke Again,1,,11,1
https://www.billboard.com/charts/hot-100/2019-12-14,12/14/2019,11,Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,1,,11,1
http://www.billboard.com/charts/hot-100/1995-11-18,11/18/1995,12,Diggin' On You,TLC,Diggin' On YouTLC,1,,12,1
http://www.billboard.com/charts/hot-100/2006-07-15,7/15/2006,12,Somewhere Over The Rainbow,Katharine McPhee,Somewhere Over The RainbowKatharine McPhee,1,,12,1
http://www.billboard.com/charts/hot-100/2006-09-23,9/23/2006,12,Ring The Alarm,Beyonce,Ring The AlarmBeyonce,1,,12,1
http://www.billboard.com/charts/hot-100/2010-05-01,5/1/2010,12,Airplanes,B.o.B Featuring Hayley Williams,AirplanesB.o.B Featuring Hayley Williams,1,,12,1
http://www.billboard.com/charts/hot-100/2010-10-23,10/23/2010,12,Runaway,Kanye West Featuring Pusha T,RunawayKanye West Featuring Pusha T,1,,12,1
http://www.billboard.com/charts/hot-100/2012-08-04,8/4/2012,12,Take A Little Ride,Jason Aldean,Take A Little RideJason Aldean,1,,12,1
http://www.billboard.com/charts/hot-100/2012-12-15,12/15/2012,12,Scream & Shout,will.i.am & Britney Spears,Scream & Shoutwill.i.am & Britney Spears,1,,12,1
http://www.billboard.com/charts/hot-100/2014-08-09,8/9/2014,12,Burnin' It Down,Jason Aldean,Burnin' It DownJason Aldean,1,,12,1
http://www.billboard.com/charts/hot-100/1998-03-28,3/28/1998,13,Bitter Sweet Symphony,The Verve,Bitter Sweet SymphonyThe Verve,1,,13,1
http://www.billboard.com/charts/hot-100/1998-04-11,4/11/1998,13,Sex And Candy,Marcy Playground,Sex And CandyMarcy Playground,1,,13,1
http://www.billboard.com/charts/hot-100/1998-10-24,10/24/1998,13,Come And Get With Me,Keith Sweat Featuring Snoop Dogg,Come And Get With MeKeith Sweat Featuring Snoop Dogg,1,,13,1
http://www.billboard.com/charts/hot-100/2011-11-26,11/26/2011,13,Ours,Taylor Swift,OursTaylor Swift,1,,13,1
http://www.billboard.com/charts/hot-100/2012-10-13,10/13/2012,13,Die Young,Ke$ha,Die YoungKe$ha,1,,13,1
http://www.billboard.com/charts/hot-100/2012-11-03,11/3/2012,13,State Of Grace,Taylor Swift,State Of GraceTaylor Swift,1,,13,1
http://www.billboard.com/charts/hot-100/2013-11-09,11/9/2013,13,Do What U Want,Lady Gaga Featuring R. Kelly,Do What U WantLady Gaga Featuring R. Kelly,1,,13,1
http://www.billboard.com/charts/hot-100/2014-10-18,10/18/2014,13,Steal My Girl,One Direction,Steal My GirlOne Direction,1,,13,1
https://www.billboard.com/charts/hot-100/2018-06-30,6/30/2018,13,Apes**t,The Carters,Apes**tThe Carters,1,,13,1
https://www.billboard.com/charts/hot-100/2018-09-22,9/22/2018,13,Rap Devil,Machine Gun Kelly,Rap DevilMachine Gun Kelly,1,,13,1
https://www.billboard.com/charts/hot-100/2019-09-28,9/28/2019,13,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey","Don't Call Me Angel (Charlie's Angels)Ariana Grande, Miley Cyrus & Lana Del Rey",1,,13,1
http://www.billboard.com/charts/hot-100/1993-05-01,5/1/1993,14,That's The Way Love Goes,Janet Jackson,That's The Way Love GoesJanet Jackson,1,,14,1
http://www.billboard.com/charts/hot-100/1998-12-05,12/5/1998,14,Save Tonight,Eagle-Eye Cherry,Save TonightEagle-Eye Cherry,1,,14,1
http://www.billboard.com/charts/hot-100/2001-03-17,3/17/2001,14,All For You,Janet,All For YouJanet,1,,14,1
http://www.billboard.com/charts/hot-100/2007-02-03,2/3/2007,14,Push It To The Limit,Corbin Bleu,Push It To The LimitCorbin Bleu,1,,14,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,14,Bartier Cardi,Cardi B Featuring 21 Savage,Bartier CardiCardi B Featuring 21 Savage,1,,14,1
https://www.billboard.com/charts/hot-100/2018-05-05,5/5/2018,14,Photograph,J. Cole,PhotographJ. Cole,1,,14,1
https://www.billboard.com/charts/hot-100/2018-05-12,5/12/2018,14,Rich & Sad,Post Malone,Rich & SadPost Malone,1,,14,1
https://www.billboard.com/charts/hot-100/2018-10-13,10/13/2018,14,Dedicate,Lil Wayne,DedicateLil Wayne,1,,14,1
http://www.billboard.com/charts/hot-100/1991-03-02,3/2/1991,15,Rescue Me,Madonna,Rescue MeMadonna,1,,15,1
http://www.billboard.com/charts/hot-100/1993-10-23,10/23/1993,15,Again,Janet Jackson,AgainJanet Jackson,1,,15,1
http://www.billboard.com/charts/hot-100/1998-03-28,3/28/1998,15,All My Life,K-Ci & JoJo,All My LifeK-Ci & JoJo,1,,15,1
http://www.billboard.com/charts/hot-100/2014-04-26,4/26/2014,15,Sing,Ed Sheeran,SingEd Sheeran,1,,15,1
http://www.billboard.com/charts/hot-100/2014-07-19,7/19/2014,15,Break Free,Ariana Grande Featuring Zedd,Break FreeAriana Grande Featuring Zedd,1,,15,1
http://www.billboard.com/charts/hot-100/2015-03-21,3/21/2015,15,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney","All DayKanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",1,,15,1
http://www.billboard.com/charts/hot-100/2016-10-01,10/1/2016,15,Perfect Illusion,Lady Gaga,Perfect IllusionLady Gaga,1,,15,1
https://www.billboard.com/charts/hot-100/2018-05-12,5/12/2018,15,Spoil My Night,Post Malone Featuring Swae Lee,Spoil My NightPost Malone Featuring Swae Lee,1,,15,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,16,One Summer Night,The Danleers,One Summer NightThe Danleers,1,,16,1
http://www.billboard.com/charts/hot-100/2008-08-02,8/2/2008,16,Pushin' Me Away,Jonas Brothers,Pushin' Me AwayJonas Brothers,1,,16,1
http://www.billboard.com/charts/hot-100/2009-10-24,10/24/2009,16,One Less Lonely Girl,Justin Bieber,One Less Lonely GirlJustin Bieber,1,,16,1
http://www.billboard.com/charts/hot-100/2010-02-06,2/6/2010,16,Stranded (Haiti Mon Amour),"Jay-Z, Bono, The Edge & Rihanna","Stranded (Haiti Mon Amour)Jay-Z, Bono, The Edge & Rihanna",1,,16,1
http://www.billboard.com/charts/hot-100/2011-10-01,10/1/2011,16,Paradise,Coldplay,ParadiseColdplay,1,,16,1
http://www.billboard.com/charts/hot-100/2012-09-22,9/22/2012,16,Ronan,Taylor Swift,RonanTaylor Swift,1,,16,1
http://www.billboard.com/charts/hot-100/2012-10-13,10/13/2012,16,Diamonds,Rihanna,DiamondsRihanna,1,,16,1
